Assigned;Assigned[%];Time[min];Iter;IterYield[%];Speed[it/s];AddedPert;AddedPert[%];HardStudentConf;StudentConf;DistStudentConf;CommitStudentConf;TimePref;RoomPref;DistInstrPref;GrConstPref;UselessHalfHours;BrokenTimePat;TooBigRooms
0;0.000;0.000;0;NaN;NaN;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
1;0.667;0.004;1;100.000;4.403;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
2;1.333;0.004;2;100.000;7.735;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
3;2.000;0.005;3;100.000;11.059;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
4;2.667;0.005;4;100.000;13.978;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
5;3.333;0.005;5;100.000;16.081;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
6;4.000;0.006;6;100.000;16.677;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
7;4.667;0.006;7;100.000;18.786;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
8;5.333;0.006;8;100.000;21.197;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
9;6.000;0.006;9;100.000;23.397;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
10;6.667;0.007;10;100.000;25.616;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
11;7.333;0.007;11;100.000;27.915;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
12;8.000;0.007;12;100.000;29.125;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
13;8.667;0.007;13;100.000;29.503;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
14;9.333;0.007;14;100.000;31.430;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
15;10.000;0.008;15;100.000;31.893;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
16;10.667;0.008;16;100.000;33.848;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
17;11.333;0.008;17;100.000;34.291;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
18;12.000;0.009;18;100.000;34.497;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
19;12.667;0.009;19;100.000;36.117;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
20;13.333;0.009;20;100.000;37.712;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
21;14.000;0.009;21;100.000;39.171;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
22;14.667;0.009;22;100.000;40.886;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
23;15.333;0.009;23;100.000;41.502;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
24;16.000;0.018;24;100.000;22.613;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
25;16.667;0.018;25;100.000;23.484;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
26;17.333;0.018;26;100.000;24.365;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
27;18.000;0.018;27;100.000;25.198;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
28;18.667;0.018;28;100.000;26.020;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
29;19.333;0.018;29;100.000;26.848;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
30;20.000;0.018;30;100.000;27.626;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
31;20.667;0.018;31;100.000;28.328;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
32;21.333;0.018;32;100.000;28.984;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
33;22.000;0.019;33;100.000;29.130;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
34;22.667;0.019;34;100.000;29.695;0;0.000;0;0;0;0;0.000;0;0;0;0;4;1
35;23.333;0.019;35;100.000;30.429;0;0.000;0;0;0;0;0.000;0;0;0;0;5;1
36;24.000;0.019;36;100.000;30.947;0;0.000;0;0;0;0;0.000;0;0;0;0;3;1
37;24.667;0.019;37;100.000;31.713;0;0.000;0;0;0;0;0.000;0;0;0;0;7;1
38;25.333;0.020;38;100.000;31.910;0;0.000;0;0;0;0;0.000;0;0;0;0;9;1
39;26.000;0.024;39;100.000;26.542;0;0.000;0;0;0;0;0.000;0;0;0;0;7;1
40;26.667;0.025;40;100.000;26.994;0;0.000;0;0;0;0;0.000;0;0;0;0;7;1
41;27.333;0.025;41;100.000;27.333;0;0.000;0;0;0;0;0.000;0;0;0;2;7;1
42;28.000;0.025;42;100.000;27.968;0;0.000;0;0;0;0;0.000;0;0;0;2;11;1
43;28.667;0.025;43;100.000;28.578;0;0.000;0;0;0;0;0.000;0;0;0;2;9;1
44;29.333;0.026;44;100.000;28.694;0;0.000;0;0;0;0;0.000;0;0;0;2;9;2
45;30.000;0.026;45;100.000;29.309;0;0.000;0;0;0;0;0.000;0;0;0;2;7;2
46;30.667;0.026;46;100.000;29.910;0;0.000;0;0;0;0;0.000;0;0;0;2;7;2
47;31.333;0.026;47;100.000;30.520;0;0.000;0;0;0;0;0.000;0;0;0;2;11;2
48;32.000;0.026;48;100.000;48;32.000;0.028;48;100.000;28.595;0;0.000;0;0;0;0;40.000;0;0;0;0;10;1
49;32.667;0.032;49;100.000;25.516;0;0.000;0;0;0;0;40.000;0;0;0;0;10;2
50;33.333;0.032;50;100.000;26.014;0;0.000;0;0;0;0;40.000;0;0;0;0;10;2
51;34.000;0.032;51;100.000;26.512;0;0.000;0;0;0;0;40.000;0;0;0;0;12;2
52;34.667;0.032;52;100.000;26.902;0;0.000;0;0;0;0;40.000;0;0;0;0;18;2
53;35.333;0.032;53;100.000;27.364;0;0.000;0;0;0;0;40.000;0;0;0;0;20;2
54;36.000;0.032;54;100.000;27.853;0;0.000;0;0;0;0;40.000;0;0;0;0;20;3
55;36.667;0.032;55;100.000;28.334;0;0.000;0;0;0;0;40.000;0;0;0;0;18;3
56;37.333;0.032;56;100.000;28.827;0;0.000;0;1;0;0;40.000;0;0;0;0;18;3
57;38.000;0.032;57;100.000;29.319;0;0.000;0;1;0;0;40.000;0;0;0;0;18;3
58;38.667;0.033;58;100.000;29.719;0;0.000;0;1;0;0;40.000;0;0;0;0;22;3
59;39.333;0.033;59;100.000;30.197;0;0.000;0;1;0;0;40.000;0;0;0;0;20;3
60;40.000;0.033;60;100.000;30.665;0;0.000;0;1;0;0;40.000;0;0;0;0;20;4
61;40.667;0.033;61;100.000;31.148;0;0.000;0;1;0;0;40.000;0;0;0;0;20;4
62;41.333;0.033;62;100.000;31.511;0;0.000;0;1;0;0;40.000;0;0;0;0;22;4
63;42.000;0.033;63;100.000;31.801;0;0.000;0;1;0;0;40.000;0;0;0;0;22;4
64;42.667;0.033;64;100.000;31.902;0;0.000;0;1;0;0;40.000;0;0;0;0;22;4
65;43.333;0.033;65;100.000;366;44.000;0.035;66;100.000;31.550;0;0.000;0;0;0;0;40.000;0;0;0;0;19;4
67;44.667;0.035;67;100.000;32.003;0;0.000;067;44.667;0.039;67;100.000;28.724;0;0.000;0;2;0;0;40.000;0;0;0;0;16;4
68;45.333;0.039;68;100.000;29.117;0;0.000;0;2;0;0;40.000;0;0;0;0;20;4
69;46.000;0.039;69;100.000;29.354;0;0.000;0;2;0;0;40.000;0;0;0;0;22;4
70;46.667;0.039;70;100.000;29.731;0;0.000;0;2;0;0;40.000;0;0;0;0;20;4
71;47.333;0.046;71;100.000;25.714;0;0.000;0;2;0;0;40.000;0;0;0;0;18;4
72;48.000;0.046;72;100.000;25.835;0;0.000;0;2;0;0;40.000;0;0;0;0;18;4
73;48.667;0.047;73;100.000;26.158;0;0.000;0;2;0;0;40.000;0;0;0;0;18;5
74;49.333;0.047;74;100.000;26.453;0;0.000;0;2;0;0;40.000;0;0;0;0;22;5
75;50.000;0.047;75;100.000;26.765;0;0.000;0;2;0;0;40.000;0;0;0;0;24;5
76;50.667;0.047;76;100.000;27.097;0;0.000;0;2;0;0;40.000;0;0;0;0;24;5
77;51.333;0.047;77;100.000;27.412;0;0.000;0;2;0;0;40.000;0;0;0;0;22;5
78;52.000;0.047;78;100.000;27.740;0;0.000;0;2;0;0;40.000;0;0;0;0;18;5
79;52.667;0.052;79;100.000;25.495;0;0.000;0;2;0;0;40.000;0;0;0;0;12;5
80;53.333;0.052;80;100.000;25.790;0;0.000;0;2;0;0;40.000;0;0;0;0;10;5
81;54.000;0.052;81;100.000;26.077;0;0.000;0;2;0;0;40.000;0;0;0;0;12;5
82;54.667;0.052;82;100.000;26.370;0;0.000;0;2;0;0;40.000;0;0;0;0;10;5
83;55.333;0.052;83;100.000;26.658;0;0.000;0;2;0;0;40.000;0;0;0;0;12;5
84;56.000;0.052;84;100.000;26.933;0;0.000;0;2;0;0;40.000;0;0;0;0;10;5
85;56.667;0.052;85;100.000;27.226;0;0.000;0;2;0;0;40.000;0;0;0;0;8;5
86;57.333;0.052;86;100.000;27.523;0;0.000;0;2;0;0;40.000;0;0;0;0;8;5
87;58.000;0.052;87;100.000;27.801;0;0.000;0;2;0;0;40.000;0;0;0;0;14;5
88;58.667;0.052;88;100.000;28.056;0;0.000;0;2;0;0;40.000;0;0;0;0;16;5
89;59.333;0.052;89;100.000;28.324;0;0.000;0;2;0;0;40.000;0;0;0;0;14;5
90;60.000;0.052;90;100.000;28.618;0;0.000;0;2;0;0;40.000;0;0;0;0;14;5
91;60.667;0.052;91;100.000;28.915;0;0.000;0;2;0;0;40.000;0;0;0;0;14;5
92;61.333;0.053;92;100.000;29.042;0;0.000;0;2;0;0;40.000;0;0;0;0;18;5
93;62.000;0.053;93;100.000;29.272;0;0.000;0;2;0;0;40.000;0;0;0;0;20;5
94;62.667;0.053;94;100.000;29.570;0;0.000;0;2;0;0;40.000;0;0;0;0;20;5
95;63.333;0.053;95;100.000;29.854;0;0.000;0;2;0;0;40.000;0;0;0;0;18;5
96;64.000;0.053;96;100.000;30.143;0;0.000;0;2;0;0;40.000;0;0;0;0;18;5
97;64.667;0.056;97;100.000;29.016;0;0.000;0;1;0;0;40.000;0;0;0;0;12;5
98;65.333;0.056;98;100.000;29.280;0;0.000;0;1;0;0;40.000;0;0;0;1;14;5
99;66.000;0.056;99;100.000;29.414;0;0.000;0;1;0;0;40.000;0;0;0;1;14;5
100;66.667;0.056;100;100.000;29.698;0;0.000;0;1;0;0;40.000;0;0;0;1;14;6
101;67.333;0.056;101;100.000;29.977;0;0.000;0;1;0;0;40.000;0;0;0;1;16;6
102;68.000;0.056;102;100.000;30.237;0;0.000;0;1;0;0;40.000;0;0;0;1;18;6
103;68.667;0.056;103;100.000;30.519;0;0.000;0;1;0;0;40.000;0;0;0;1;22;6
104;69.333;0.056;104;100.000;30.799;0;0.000;0;1;0;0;40.000;0;0;0;1;26;6
105;70.000;0.057;105;100.000;30.896;0;0.000;0;2;0;0;40.000;0;0;0;1;24;7
106;70.667;0.057;106;100.000;31.167;0;0.000;0;2;0;0;40.000;0;0;0;1;22;7
107;71.333;0.057;108;99.074;31.681;0;0.000;0;3;0;0;0.000;0;0;0;1;20;7
108;72.000;0.057;109;99.083;31.943;0;0.000;0;3;0;0;0.000;0;0;0;1;20;8
109;72.667;0.061;110;99.091;29.965;0;0.000;0;3;0;0;0.000;0;0;0;1;18;9
110;73.333;0.061;111;99.099;30.220;0;0.000;0;3;0;0;0.000;0;0;0;1;16;9
111;74.000;0.061;112;99.107;30.479;0;0.000;0;3;0;0;0.000;0;0;0;1;20;9
112;74.667;0.065;113;99.115;29.011;0;0.000;0;3;0;0;0.000;0;0;0;0;22;10
113;75.333;0.065;114;99.123;29.237;0;0.000;0;4;0;0;0.000;0;0;0;0;22;10
114;76.000;0.065;115;99.130;29.478;0;0.000;0;4;0;0;0.000;0;0;0;0;22;10
115;76.667;0.065;116;99.138;29.715;0;0.000;0;4;0;0;0.000;0;0;0;0;22;10
116;77.333;0.065;117;99.145;29.927;0;0.000;0;4;0;0;0.000;0;0;0;0;20;10
117;78.000;0.065;118;99.153;30.111;0;0.000;0;4;0;0;0.000;0;0;0;0;22;10
118;78.667;0.066;119;99.160;30.257;0;0.000;0;5;0;0;0.000;0;0;0;1;28;10
119;79.333;0.066;120;99.167;30.477;0;0.000;0;5;0;0;0.000;0;0;0;1;26;10
120;80.000;0.074;121;99.174;27.252;0;0.000;0;7;0;0;0.000;0;0;0;1;26;9
121;80.667;0.074;122;99.180;27.362;0;0.000;0;7;0;0;0.000;0;0;0;1;22;9
122;81.333;0.074;124;98.387;27.775;0;0.000;0;7;0;0;0.000;0;0;0;1;20;11
123;82.000;0.075;125;98.400;27.952;0;0.000;0;8;0;0;0.000;0;0;0;2;26;11
124;82.667;0.075;126;98.413;28.165;0;0.000;0;8;0;0;0.000;0;0;0;2;26;11
125;83.333;0.075;127;98.425;28.373;0;0.000;0;8;0;0;0.000;0;0;0;2;26;11
126;84.000;0.075;128;98.438;28.386;0;0.000;0;8;0;0;0.000;0;0;0;2;26;11
127;84.667;0.075;129;98.450;28.580;0;0.000;0;8;0;0;0.000;0;0;0;2;26;12
128;85.333;0.075;130;98.462;28.792;0;0.000;0;8;0;0;0.000;0;0;0;2;22;12
129;86.000;0.075;131;98.473;29.005;0;0.000;0;8;0;0;0.000;0;0;0;2;26;12
130;86.667;0.075;133;97.744;29.424;0;0.000;0;8;0;0;0.000;0;0;0;2;30;13
131;87.333;0.075;134;97.761;29.633;0;0.000;0;9;0;0;0.000;0;0;0;2;30;14
132;88.000;0.075;135;97.778;29.844;0;0.000;0;9;0;0;0.000;0;0;0;2;30;14
133;88.667;0.075;136;97.794;30.054;0;0.000;0;9;0;0;0.000;0;0;0;2;30;15
134;89.333;0.075;137;97.810;30.257;0;0.000;0;9;0;0;0.000;0;0;0;2;28;15
135;90.000;0.075;138;97.826;30.466;0;0.000;0;9;0;0;0.000;0;0;0;2;28;15
136;90.667;0.076;139;97.842;30.677;0;0.000;0;10;0;0;0.000;0;0;0;2;28;15
137;91.333;0.077;140;97.857;30.360;0;0.000;0;11;0;0;0.000;0;0;0;2;30;15
138;92.000;0.077;141;97.872;30.556;0;0.000;0;11;0;0;0.000;0;0;0;2;32;16
139;92.667;0.077;142;97.887;30.749;0;0.000;0;12;0;0;0.000;0;0;0;2;28;16
140;93.333;0.077;143;97.902;30.934;0;0.000;0;12;0;0;0.000;0;0;0;2;28;16
141;94.000;0.077;144;97.917;31.098;0;0.000;0;12;0;0;0.000;0;0;0;2;30;17
142;94.667;0.077;145;97.931;31.291;0;0.000;0;12;0;0;0.000;0;0;0;2;28;18
143;95.333;0.077;146;97.945;31.418;0;0.000;0;12;0;0;0.000;0;0;0;2;26;19
144;96.000;0.077;147;97.959;31.622;0;0.000;0;12;0;0;0.000;0;0;0;2;24;19
145;96.667;0.078;150;96.667;32.241;0;0.000;0;11;0;0;40.000;0;0;0;2;20;19
146;97.333;0.078;151;96.689;32.438;0;0.000;0;11;0;0;40.000;0;0;0;2;18;20
147;98.000;0.078;153;96.078;32.821;0;0.000;0;12;0;0;40.000;0;0;0;2;20;21
148;98.667;0.078;154;96.104;32.950;0;0.000;0;14;0;0;40.000;0;0;0;2;26;21
149;99.333;0.078;155;96.129;33.141;0;0.000;0;15;0;0;40.000;0;0;0;2;26;21
150;100.000;0.078;157;95.541;33.542;0;0.000;0;15;0;0;40.000;0;0;0;2;26;22
150;100.000;0.078;160;93.750;34.121;0;0.000;0;15;0;0;40.000;0;0;0;2;24;22
150;100.000;0.079;230;65.217;48.633;0;0.000;0;14;0;0;40.000;0;0;0;2;24;22
150;100.000;0.080;349;42.980;72.329;0;0.000;0;13;0;0;40.000;0;0;0;2;24;22
150;100.000;0.081;359;41.783;74.275;0;0.000;0;11;0;0;40.000;0;0;0;2;24;22
150;100.000;0.084;860;17.442;171.648;0;0.000;0;10;0;0;40.000;0;0;0;2;24;22
150;100.000;0.085;1096;13.686;215.364;0;0.000;0;9;0;0;40.000;0;0;0;2;24;22
150;100.000;0.085;1161;12.920;227.257;0;0.000;0;8;0;0;40.000;0;0;0;2;24;22
150;100.000;0.090;2175;6.897;403.673;0;0.000;0;7;0;0;40.000;0;0;0;2;24;22
150;100.000;0.102;4752;3.157;777.654;0;0.000;0;5;0;0;40.000;0;0;0;2;28;22
150;100.000;0.103;4855;3.090;788.571;0;0.000;0;5;0;0;40.000;0;0;0;2;26;22
150;100.000;0.104;4940;3.036;793.939;0;0.000;0;4;0;0;40.000;0;0;0;2;26;22
150;100.000;0.105;5069;2.959;802.206;0;0.000;0;4;0;0;40.000;0;0;0;2;24;22
150;100.000;0.241;48042;0.312;3320.222;0;0.000;1;18;0;0;0.000;0;0;0;2;19;28
150;100.000;0.532;170527;0.088;5338.786;0;0.000;0;23;0;0;0.000;0;0;0;1;18;28
150;100.000;0.752;264780;0.057;5867.686;0;0.000;0;18;0;0;0.000;0;0;0;1;26;29
150;100.000;0.820;295387;0.051;6000.216;0;0.000;0;22;0;0;0.000;0;0;0;1;19;28
150;100.000;0.874;322763;0.046;6156.329;0;0.000;0;19;0;0;0.000;0;0;0;1;27;26
150;100.000;0.874;322764;0.046;6156.252;0;0.000;0;18;0;0;0.000;0;0;0;1;27;26
