Assigned;Assigned[%];Time[min];Iter;IterYield[%];Speed[it/s];AddedPert;AddedPert[%];HardStudentConf;StudentConf;DistStudentConf;CommitStudentConf;TimePref;RoomPref;DistInstrPref;GrConstPref;UselessHalfHours;BrokenTimePat;TooBigRooms
0;0.000;0.000;0;NaN;NaN;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
1;0.667;0.000;1;100.000;46.939;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
2;1.333;0.000;2;100.000;69.233;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
3;2.000;0.001;3;100.000;72.142;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
4;2.667;0.001;4;100.000;76.986;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
5;3.333;0.001;5;100.000;79.471;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
6;4.000;0.001;6;100.000;88.051;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
7;4.667;0.001;7;100.000;83.367;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
8;5.333;0.003;8;100.000;44.247;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
9;6.000;0.003;9;100.000;48.505;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
10;6.667;0.003;10;100.000;52.576;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
11;7.333;0.003;11;100.000;54.744;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
12;8.000;0.003;12;100.000;58.187;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
13;8.667;0.004;13;100.000;60.463;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
14;9.333;0.004;14;100.000;63.005;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
15;10.000;0.004;15;100.000;65.261;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
16;10.667;0.004;16;100.000;68.616;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
17;11.333;0.004;17;100.000;71.858;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
18;12.000;0.004;18;100.000;73.797;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
19;12.667;0.004;19;100.000;76.203;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
20;13.333;0.004;20;100.000;74.535;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
21;14.000;0.005;21;100.000;69.407;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
22;14.667;0.008;22;100.000;48.228;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
23;15.333;0.008;23;100.000;47.843;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
24;16.000;0.008;24;100.000;48.650;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
25;16.667;0.008;25;100.000;49.823;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
26;17.333;0.008;26;100.000;51.363;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
27;18.000;0.009;27;100.000;52.558;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
28;18.667;0.009;28;100.000;53.852;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
29;19.333;0.009;29;100.000;55.503;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
30;20.000;0.009;30;100.000;56.774;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
31;20.667;0.009;31;100.000;58.062;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
32;21.333;0.009;32;100.000;59.556;0;0.000;0;0;0;0;0.000;0;0;0;0;1;0
33;22.000;0.009;33;100.000;61.034;0;0.000;0;0;0;0;0.000;0;0;0;0;1;0
34;22.667;0.009;34;100.000;62.328;0;0.000;0;0;0;0;0.000;0;0;0;0;1;0
35;23.333;0.010;35;100.000;59.410;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
36;24.000;0.011;36;100.000;54.920;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
37;24.667;0.011;37;100.000;56.033;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
38;25.333;0.012;38;100.000;54.706;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
39;26.000;0.012;39;100.000;55.758;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
40;26.667;0.012;40;100.000;56.760;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
41;27.333;0.012;41;100.000;57.530;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
42;28.000;0.012;42;100.000;58.582;0;0.000;0;0;0;0;0.000;0;0;0;0;8;0
43;28.667;0.012;43;100.000;59.141;0;0.000;0;0;0;0;0.000;0;0;0;0;6;0
44;29.333;0.012;44;100.000;60.178;0;0.000;0;0;0;0;0.000;0;0;0;0;6;0
45;30.000;0.012;45;100.000;61.057;0;0.000;0;0;0;0;0.000;0;0;0;0;6;1
46;30.667;0.012;46;100.000;61.804;0;0.000;0;0;0;0;0.000;0;0;0;0;8;1
47;31.333;0.012;47;100.000;62.696;0;0.000;0;0;0;0;0.000;0;0;0;0;8;1
48;32.000;0.013;48;100.000;63.564;0;0.000;0;0;0;0;0.000;0;0;0;0;6;1
49;32.667;0.013;49;100.000;64.620;0;0.000;0;0;0;0;0.000;0;0;0;0;8;1
50;33.333;0.013;50;100.000;65.517;0;0.000;0;0;0;0;0.000;0;0;0;0;8;2
51;34.000;0.014;51;100.000;62.020;0;0.000;0;0;0;0;0.000;0;0;0;0;10;2
52;34.667;0.014;52;100.000;62.327;0;0.000;0;0;0;0;0.000;0;0;0;0;14;2
53;35.333;0.014;53;100.000;61.522;0;0.000;0;0;0;0;0.000;0;0;0;0;14;3
54;36.000;0.015;54;100.000;61.794;0;0.000;0;0;0;0;0.000;0;0;0;0;14;3
55;36.667;0.015;55;100.000;61.492;0;0.000;0;0;0;0;0.000;0;0;0;0;14;3
56;37.333;0.015;56;100.000;61.693;0;0.000;0;0;0;0;0.000;0;0;0;0;14;3
57;38.000;0.015;57;100.000;62.599;0;0.000;0;0;0;0;0.000;0;0;0;0;12;3
58;38.667;0.015;58;100.000;62.830;0;0.000;0;0;0;0;0.000;0;0;0;0;10;3
59;39.333;0.016;59;100.000;62.391;0;0.000;0;0;0;0;0.000;0;0;0;0;6;3
60;40.000;0.016;60;100.000;62.050;0;0.000;0;0;0;0;0.000;0;0;0;0;10;3
61;40.667;0.025;61;100.000;41.450;0;0.000;0;0;0;0;0.000;0;0;0;0;10;3
62;41.333;0.025;62;100.000;42.037;0;0.000;0;0;0;0;0.000;0;0;0;0;14;3
63;42.000;0.025;63;100.000;42.604;0;0.000;0;0;0;0;0.000;0;0;0;0;14;4
64;42.667;0.025;64;100.000;43.147;0;0.000;0;0;0;0;0.000;0;0;0;0;18;4
65;43.333;0.025;65;100.000;43.642;0;0.000;0;0;0;0;0.000;0;0;0;0;20;4
66;44.000;0.025;66;100.000;43.990;0;0.000;0;0;0;0;0.000;0;0;0;0;20;5
67;44.667;0.025;67;100.000;44.398;0;0.000;0;0;0;0;0.000;0;0;0;0;18;5
68;45.333;0.026;68;100.000;43.859;0;0.000;0;0;0;0;0.000;0;0;0;0;16;5
69;46.000;0.026;69;100.000;43.875;0;0.000;0;0;0;0;0.000;0;0;0;0;18;5
70;46.667;0.026;70;100.000;44.364;0;0.000;0;0;0;0;0.000;0;0;0;0;20;5
71;47.333;0.026;71;100.000;44.860;0;0.000;0;0;0;0;0.000;0;0;0;0;18;5
