Assigned;Assigned[%];Time[min];Iter;IterYield[%];Speed[it/s];AddedPert;AddedPert[%];HardStudentConf;StudentConf;DistStudentConf;CommitStudentConf;TimePref;RoomPref;DistInstrPref;GrConstPref;UselessHalfHours;BrokenTimePat;TooBigRooms
0;0.000;0.000;0;NaN;NaN;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
1;0.667;0.001;1;100.000;16.788;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
2;1.333;0.001;2;100.000;26.181;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
3;2.000;0.003;3;100.000;19.057;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
4;2.667;0.003;4;100.000;24.381;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
5;3.333;0.003;5;100.000;28.358;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
6;4.000;0.003;6;100.000;33.076;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
7;4.667;0.003;7;100.000;37.615;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
8;5.333;0.003;8;100.000;41.117;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
9;6.000;0.010;9;100.000;14.352;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
10;6.667;0.011;10;100.000;15.752;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
11;7.333;0.011;11;100.000;17.180;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
12;8.000;0.011;12;100.000;18.631;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
13;8.667;0.011;13;100.000;19.941;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
14;9.333;0.011;14;100.000;20.807;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
15;10.000;0.011;15;100.000;22.074;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
16;10.667;0.011;16;100.000;23.316;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
17;11.333;0.012;17;100.000;24.594;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
18;12.000;0.012;18;100.000;25.894;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
19;12.667;0.012;19;100.000;27.178;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
20;13.333;0.012;20;100.000;28.407;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
21;14.000;0.020;21;100.000;17.410;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
22;14.667;0.020;22;100.000;18.180;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
23;15.333;0.020;23;100.000;18.835;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
24;16.000;0.029;24;100.000;13.910;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
25;16.667;0.029;25;100.000;14.472;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
26;17.333;0.029;26;100.000;15.014;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
27;18.000;0.029;27;100.000;15.560;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
28;18.667;0.029;28;100.000;16.116;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
29;19.333;0.029;29;100.000;16.656;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
30;20.000;0.029;30;100.000;17.188;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
31;20.667;0.029;31;100.000;17.676;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
32;21.333;0.029;32;100.000;18.219;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
33;22.000;0.029;33;100.000;18.767;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
34;22.667;0.030;34;100.000;19.155;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
35;23.333;0.030;35;100.000;19.683;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
36;24.000;0.030;36;100.000;20.190;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
37;24.667;0.030;37;100.000;20.723;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
38;25.333;0.030;38;100.000;21.240;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
39;26.000;0.030;39;100.000;21.776;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
40;26.667;0.030;40;100.000;22.220;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
41;27.333;0.030;41;100.000;22.746;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
42;28.000;0.030;42;100.000;23.236;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
43;28.667;0.030;43;100.000;23.755;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
44;29.333;0.030;44;100.000;24.252;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
45;30.000;0.031;45;100.000;24.569;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
46;30.667;0.031;46;100.000;25.070;0;0.000;0;0;0;0;0.000;0;0;0;0;4;1
47;31.333;0.031;47;100.000;25.574;0;0.000;0;0;0;0;0.000;0;0;0;0;2;1
48;32.000;0.031;48;100.000;26.067;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
49;32.667;0.031;49;100.000;26.427;0;0.000;0;0;0;0;0.000;0;0;0;0;0;2
50;33.333;0.031;50;100.000;26.715;0;0.000;0;0;0;0;0.000;0;0;0;0;0;2
51;34.000;0.031;51;100.000;27.195;0;0.000;0;0;0;0;0.000;0;0;0;0;0;2
52;34.667;0.031;52;100.000;27.683;0;0.000;0;0;0;0;0.000;0;0;0;0;2;2
53;35.333;0.031;53;100.000;28.189;0;0.000;0;0;0;0;0.000;0;0;0;0;6;2
54;36.000;0.031;54;100.000;28.691;0;0.000;0;0;0;0;0.000;0;0;0;0;6;3
55;36.667;0.031;55;100.000;29.132;0;0.000;0;0;0;0;0.000;0;0;0;0;8;3
56;37.333;0.032;56;100.000;29.595;0;0.000;0;0;0;0;0.000;0;0;0;0;6;3
57;38.000;0.032;57;100.000;30.095;0;0.000;0;0;0;0;0.000;0;0;0;0;6;3
58;38.667;0.032;58;100.000;30.564;0;0.000;0;0;0;0;0.000;0;0;0;0;4;3
