Assigned;Assigned[%];Time[min];Iter;IterYield[%];Speed[it/s];AddedPert;AddedPert[%];HardStudentConf;StudentConf;DistStudentConf;CommitStudentConf;TimePref;RoomPref;DistInstrPref;GrConstPref;UselessHalfHours;BrokenTimePat;TooBigRooms
0;0.000;0.000;0;NaN;NaN;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
1;0.667;0.000;1;100.000;34.275;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
2;1.333;0.001;2;100.000;59.835;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
3;2.000;0.001;3;100.000;79.588;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
4;2.667;0.002;4;100.000;37.840;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
5;3.333;0.002;5;100.000;44.926;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
6;4.000;0.002;6;100.000;51.378;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
7;4.667;0.003;7;100.000;36.761;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
8;5.333;0.003;8;100.000;41.339;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
9;6.000;0.003;9;100.000;45.796;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
10;6.667;0.003;10;100.000;50.368;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
11;7.333;0.003;11;100.000;54.567;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
12;8.000;0.003;12;100.000;58.970;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
13;8.667;0.003;13;100.000;63.194;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
14;9.333;0.003;14;100.000;67.186;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
15;10.000;0.003;15;100.000;71.584;0;0.000;0;1;0;0;0.000;0;0;0;0;0;0
16;10.667;0.004;16;100.000;75.773;0;0.000;0;1;0;0;0.000;0;0;0;0;0;0
17;11.333;0.004;17;100.000;79.503;0;0.000;0;1;0;0;0.000;0;0;0;0;0;0
18;12.000;0.004;18;100.000;83.387;0;0.000;0;1;0;0;0.000;0;0;0;0;0;0
19;12.667;0.004;19;100.000;86.269;0;0.000;0;1;0;0;0.000;0;0;0;0;0;0
20;13.333;0.005;20;100.000;67.439;0;0.000;0;1;0;0;0.000;0;0;0;0;0;1
21;14.000;0.005;21;100.000;70.172;0;0.000;0;1;0;0;0.000;0;0;0;0;0;1
22;14.667;0.005;22;100.000;70.693;0;0.000;0;1;0;0;0.000;0;0;0;0;0;1
23;15.333;0.006;23;100.000;60.317;0;0.000;0;1;0;0;0.000;0;0;0;0;0;1
24;16.000;0.006;24;100.000;62.613;0;0.000;0;1;0;0;0.000;0;0;0;0;0;1
25;16.667;0.006;25;100.000;64.685;0;0.000;0;1;0;0;0.000;0;0;0;0;1;1
26;17.333;0.006;26;100.000;67.039;0;0.000;0;1;0;0;0.000;0;0;0;0;1;1
27;18.000;0.007;27;100.000;68.100;0;0.000;0;1;0;0;0.000;0;0;0;0;1;1
28;18.667;0.007;28;100.000;70.123;0;0.000;0;1;0;0;0.000;0;0;0;0;3;1
29;19.333;0.007;29;100.000;72.360;0;0.000;0;1;0;0;0.000;0;0;0;0;3;1
